"bank","case","seed","model","macro","optimize","rmse","mae","mape","mse","path"
"BBRI","autoformer_macro_random","42","autoformer","True","True","389.594901789025","300.941528320313","6.14577102661133","151784.1875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_macro_random\seed_42\BBRI\summary_transformer.json"
"BBRI","autoformer_macro_random","52","autoformer","True","True","433.949899902051","307.925079345703","6.45540523529053","188312.515625","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_macro_random\seed_52\BBRI\summary_transformer.json"
"BBRI","autoformer_macro_random","62","autoformer","True","True","411.181092251334","337.479431152344","6.62556886672974","169069.890625","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_macro_random\seed_62\BBRI\summary_transformer.json"
"BBRI","autoformer_macro_random","72","autoformer","True","True","669.479625343445","601.136413574219","12.6148300170898","448202.96875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_macro_random\seed_72\BBRI\summary_transformer.json"
"BBRI","autoformer_macro_random","82","autoformer","True","True","361.543230903996","280.913757324219","5.69511747360229","130713.5078125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\autoformer_macro_random\seed_82\BBRI\summary_transformer.json"
"BBRI","informer_data","42","informer","False","False","330.236976938531","240.25129699707","4.56587553024292","109056.4609375","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\informer_data\seed_42\BBRI\summary_transformer.json"
"BBRI","informer_data","52","informer","False","False","321.808087705235","226.263931274414","4.21032047271729","103560.4453125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\informer_data\seed_52\BBRI\summary_transformer.json"
"BBRI","informer_data","62","informer","False","False","493.985972093338","383.783477783203","7.23465299606323","244022.140625","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\informer_data\seed_62\BBRI\summary_transformer.json"
"BBRI","informer_data","72","informer","False","False","432.384919660712","333.575897216797","6.26906967163086","186956.71875","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\informer_data\seed_72\BBRI\summary_transformer.json"
"BBRI","informer_data","82","informer","False","False","400.645826291751","290.794250488281","5.41519165039063","160517.078125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\informer_data\seed_82\BBRI\summary_transformer.json"
"BBRI","informer_data_random","42","informer","False","True","360.834146457898","270.681213378906","5.14156150817871","130201.28125","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\informer_data_random\seed_42\BBRI\summary_transformer.json"
"BBRI","informer_data_random","52","informer","False","True","389.388823992163","279.794464111328","5.20147514343262","151623.65625","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\informer_data_random\seed_52\BBRI\summary_transformer.json"
"BBRI","informer_data_random","62","informer","False","True","594.307159640535","487.068176269531","9.25891971588135","353201","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\informer_data_random\seed_62\BBRI\summary_transformer.json"
"BBRI","informer_data_random","72","informer","False","True","549.675671419065","420.011474609375","7.88346433639526","302143.34375","D:\SIML_Juni_2026_UMS_Surakarta_2\code\results_transformer_study\BBRI\informer_data_random\seed_72\BBRI\summary_transformer.json"
