bank,case,seed,model_type,use_macro,optimize,rmse,mae,mape,mse,summary_path,test_predictions_path
BBCA,bilstm_macro_ga,72,bilstm,True,True,1818.0859440631514,1719.36328125,18.524354934692383,3305436.5,results_study_full\BBCA\bilstm_macro_ga\seed_72\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_macro_ga\seed_72\BBCA\test_predictions_pytorch.csv
BBCA,bilstm_macro_ga,82,bilstm,True,True,2354.9409759057658,2247.260986328125,24.302766799926758,5545747.0,results_study_full\BBCA\bilstm_macro_ga\seed_82\BBCA\summary_pytorch.json,results_study_full\BBCA\bilstm_macro_ga\seed_82\BBCA\test_predictions_pytorch.csv
BBNI,lstm_data,42,lstm,False,False,343.052428573243,268.0943908691406,5.237091541290283,117684.96875,results_study_full\BBNI\lstm_data\seed_42\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_data\seed_42\BBNI\test_predictions_pytorch.csv
BBNI,lstm_data,52,lstm,False,False,392.1055342634174,304.3528747558594,5.92857027053833,153746.75,results_study_full\BBNI\lstm_data\seed_52\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_data\seed_52\BBNI\test_predictions_pytorch.csv
BBNI,lstm_data,62,lstm,False,False,522.0685419559389,430.4230651855469,8.470044136047363,272555.5625,results_study_full\BBNI\lstm_data\seed_62\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_data\seed_62\BBNI\test_predictions_pytorch.csv
BBNI,lstm_data,72,lstm,False,False,329.8313963224241,231.3692169189453,4.435642242431641,108788.75,results_study_full\BBNI\lstm_data\seed_72\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_data\seed_72\BBNI\test_predictions_pytorch.csv
BBNI,lstm_data,82,lstm,False,False,288.5235313193709,199.46084594726562,3.8210608959198,83245.828125,results_study_full\BBNI\lstm_data\seed_82\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_data\seed_82\BBNI\test_predictions_pytorch.csv
BBNI,lstm_macro,42,lstm,True,False,514.9112484205409,434.8695373535156,8.605060577392578,265133.59375,results_study_full\BBNI\lstm_macro\seed_42\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_macro\seed_42\BBNI\test_predictions_pytorch.csv
BBNI,lstm_macro,52,lstm,True,False,462.46537032517364,371.03936767578125,7.2667622566223145,213874.21875,results_study_full\BBNI\lstm_macro\seed_52\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_macro\seed_52\BBNI\test_predictions_pytorch.csv
BBNI,lstm_macro,62,lstm,True,False,435.25025129228817,351.5408630371094,6.89164924621582,189442.78125,results_study_full\BBNI\lstm_macro\seed_62\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_macro\seed_62\BBNI\test_predictions_pytorch.csv
BBNI,lstm_macro,72,lstm,True,False,576.4603195363927,501.85089111328125,9.984522819519043,332306.5,results_study_full\BBNI\lstm_macro\seed_72\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_macro\seed_72\BBNI\test_predictions_pytorch.csv
BBNI,lstm_macro,82,lstm,True,False,462.2839360176817,359.5137023925781,7.035252571105957,213706.4375,results_study_full\BBNI\lstm_macro\seed_82\BBNI\summary_pytorch.json,results_study_full\BBNI\lstm_macro\seed_82\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_data,42,bilstm,False,False,319.879286313603,234.8400421142578,4.537227153778076,102322.7578125,results_study_full\BBNI\bilstm_data\seed_42\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_data\seed_42\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_data,52,bilstm,False,False,387.47328536945616,305.8481750488281,5.981809616088867,150135.546875,results_study_full\BBNI\bilstm_data\seed_52\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_data\seed_52\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_data,62,bilstm,False,False,395.3817972858639,288.9526672363281,5.5680742263793945,156326.765625,results_study_full\BBNI\bilstm_data\seed_62\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_data\seed_62\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_data,72,bilstm,False,False,321.70527078367866,243.7388153076172,4.7352166175842285,103494.28125,results_study_full\BBNI\bilstm_data\seed_72\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_data\seed_72\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_data,82,bilstm,False,False,254.82172843234935,189.9097442626953,3.693031072616577,64934.11328125,results_study_full\BBNI\bilstm_data\seed_82\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_data\seed_82\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_macro,42,bilstm,True,False,432.2439993799798,359.49237060546875,7.084855556488037,186834.875,results_study_full\BBNI\bilstm_macro\seed_42\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_macro\seed_42\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_macro,52,bilstm,True,False,492.04927027178894,387.29351806640625,7.546690940856934,242112.484375,results_study_full\BBNI\bilstm_macro\seed_52\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_macro\seed_52\BBNI\test_predictions_pytorch.csv
