"bank","case","runs","rmse_mean","mae_mean","mape_mean","mse_mean"
"BBNI","lstm_attention_macro","5","738.730861570473","655.412689208984","13.1404340744019","555788.45"
"BBNI","bilstm_attention_macro_ga","5","756.18630501305","654.341314697266","13.0117285728455","603346.84375"
"BBNI","bilstm_pre_norm_data","5","958.234507546563","797.13623046875","15.781597328186","920906.4125"
"BBNI","lstm_pre_post_norm_data_ga","5","978.05727337226","828.151867675781","16.4165775299072","962088.875"
"BBNI","bilstm_pre_post_norm_data_ga","5","987.875827577608","824.106652832031","16.3186046600342","981419.3"
"BBNI","lstm_pre_norm_data_ga","5","1000.04881544386","843.376867675781","16.7027492523193","1003982.05"
"BBNI","lstm_pre_norm_data","5","1016.4866828949","862.212890625","17.095433807373","1041313.875"
"BBNI","bilstm_pre_norm_data_ga","5","1028.76467081029","864.893371582031","17.1317213058472","1061166.4125"
"BBNI","bilstm_pre_post_norm_data","5","1046.83188686133","865.976574707031","17.1344264984131","1097444.8125"
"BBNI","lstm_pre_post_norm_data","5","1054.49778795424","871.78017578125","17.2477094650269","1116465.925"
"BBNI","bilstm_pre_post_norm_macro_ga","5","1076.53308722086","944.797790527344","18.8532543182373","1161110.8125"
"BBNI","bilstm_pre_norm_macro_ga","5","1079.61733170163","949.991931152344","18.9696319580078","1167798.15"
"BBNI","bilstm_pre_norm_macro","5","1088.0853308427","963.143286132812","19.2505477905273","1184595.725"
"BBNI","bilstm_pre_post_norm_macro","5","1107.04582969784","960.126733398438","19.1230804443359","1226359.625"
"BBNI","lstm_pre_norm_macro","5","1110.89947576326","976.304724121094","19.4949268341064","1234273.75"
"BBNI","lstm_pre_post_norm_macro","5","1120.59394680836","966.410961914062","19.2512996673584","1256238.875"
"BBNI","lstm_pre_norm_macro_ga","5","1136.20106744086","1014.99357910156","20.3318214416504","1292774.875"
"BBNI","lstm_pre_post_norm_macro_ga","5","1137.75922029441","999.739196777344","19.9674228668213","1298535.225"
"BBRI","bilstm_attention_data","5","580.648359510964","454.461535644531","8.5863184928894","352299.065625"
"BBRI","bilstm_attention_macro","5","620.603401778963","508.518719482422","9.70049343109131","411905.89375"
"BBRI","cnn_bilstm_macro","5","638.31544225585","516.008605957031","9.78651638031006","407886.8"
"BBRI","cnn_bilstm_macro_ga","5","650.308491131451","532.826995849609","10.1337944030762","426840.56875"
"BBRI","cnn_lstm_macro_ga","5","658.712673370891","541.516070556641","10.3203227043152","466812.34375"
