feature,importance,model
t19_Bid Price,7.728658e-05,xgb
t39_ihsg_return_1d,7.7277014e-05,xgb
t10_Low Price,7.720932e-05,xgb
t10_Price Change 1 Day Percent,7.649829e-05,xgb
t41_Ask Price,7.620032e-05,xgb
t52_Dividend Indicated Yld - Gross,7.553032e-05,xgb
t23_Price to Sales Ratio,7.4830205e-05,xgb
t43_Bid Price,7.47928e-05,xgb
t19_Price to Book Ratio,7.462732e-05,xgb
t32_Bid Price,7.3574134e-05,xgb
t21_Price Change 1 Day Percent,7.3527524e-05,xgb
t00_ihsg_return_1d,7.344916e-05,xgb
t40_Dividend Indicated Yld - Gross,7.2925584e-05,xgb
t41_Price to Book Ratio,7.13946e-05,xgb
t35_Dividend Indicated Yld - Gross,7.0151356e-05,xgb
t22_ihsg_close,7.01096e-05,xgb
t09_ihsg_close,7.0045484e-05,xgb
t30_ihsg_return_1d,6.9452275e-05,xgb
t19_Dividend Indicated Yld - Gross,6.8788075e-05,xgb
t52_Ask Price,6.8584115e-05,xgb
t25_Price to Book Ratio,6.8128735e-05,xgb
t51_Bid Price,6.7897134e-05,xgb
t48_Price Earnings Ratio,6.747902e-05,xgb
t55_Price Change 1 Day Percent,6.741964e-05,xgb
t44_Bid Price,6.733627e-05,xgb
t49_High Price,6.7003246e-05,xgb
t20_Price Change 1 Day Percent,6.674039e-05,xgb
t00_Price Earnings Ratio,6.668194e-05,xgb
t59_Dividend Indicated Yld - Gross,6.521263e-05,xgb
t55_ihsg_close,6.401284e-05,xgb
t06_Price Earnings Ratio,6.398022e-05,xgb
t03_ihsg_return_1d,6.376472e-05,xgb
t10_ihsg_return_1d,6.3381296e-05,xgb
t33_ihsg_close,6.2426625e-05,xgb
t47_Price Change 1 Day Percent,6.188724e-05,xgb
t12_Moving Average 20 Day,6.0881855e-05,xgb
t14_Price to Book Ratio,6.088163e-05,xgb
t10_Bid Price,6.0836654e-05,xgb
t37_Dividend Indicated Yld - Gross,6.0691957e-05,xgb
t35_ihsg_close,6.0649432e-05,xgb
t50_Price to Book Ratio,6.0623577e-05,xgb
t36_Dividend Indicated Yld - Gross,6.051443e-05,xgb
t41_ihsg_return_1d,6.029908e-05,xgb
t50_ihsg_return_1d,6.01219e-05,xgb
t16_ihsg_close,5.9461265e-05,xgb
t14_Ask Price,5.9313836e-05,xgb
t31_ihsg_return_1d,5.9205988e-05,xgb
t55_Price Earnings Ratio,5.910362e-05,xgb
t40_Price Change 1 Day Percent,5.857288e-05,xgb
t06_ihsg_return_1d,5.835049e-05,xgb
t08_Price to Book Ratio,5.7735797e-05,xgb
t09_ihsg_return_1d,5.7653953e-05,xgb
t18_Dividend Indicated Yld - Gross,5.6835066e-05,xgb
t34_ihsg_return_1d,5.652386e-05,xgb
t13_Price to Sales Ratio,5.6439454e-05,xgb
t20_ihsg_return_1d,5.6342236e-05,xgb
t31_Dividend Indicated Yld - Gross,5.6276505e-05,xgb
t00_Price Change 1 Day Percent,5.614159e-05,xgb
t27_ihsg_return_1d,5.5965258e-05,xgb
t45_Price to Sales Ratio,5.4986944e-05,xgb
t01_Price to Book Ratio,5.4798013e-05,xgb
t42_Price to Book Ratio,5.4782602e-05,xgb
t48_ihsg_return_1d,5.478024e-05,xgb
t10_Price Earnings Ratio,5.4376404e-05,xgb
t59_Price to Book Ratio,5.4182794e-05,xgb
t17_Dividend Indicated Yld - Gross,5.3903772e-05,xgb
t32_ihsg_close,5.3882137e-05,xgb
t54_Price to Sales Ratio,5.3093074e-05,xgb
t32_ihsg_return_1d,5.309248e-05,xgb
t04_High Price,5.245875e-05,xgb
t39_Price Earnings Ratio,5.22991e-05,xgb
