feature,importance,model
t32_Price to Book Ratio,2.69041764441319e-05,lgbm
t49_Price Change 1 Day Percent,2.684540222817869e-05,lgbm
t45_Price Earnings Ratio,2.6668224921199073e-05,lgbm
t56_Price to Sales Ratio,2.6277082245256733e-05,lgbm
t14_Price Earnings Ratio,2.5908217769398004e-05,lgbm
t30_ihsg_return_1d,2.576365347023234e-05,lgbm
t44_Ask Price,2.544998692081178e-05,lgbm
t12_ihsg_close,2.5335042190898684e-05,lgbm
t03_High Price,2.528727992196582e-05,lgbm
t15_Dividend Indicated Yld - Gross,2.5183782625230114e-05,lgbm
t38_Dividend Indicated Yld - Gross,2.5124540390212757e-05,lgbm
t35_Price Change 1 Day Percent,2.508683542957189e-05,lgbm
t16_Price Earnings Ratio,2.4913162410824542e-05,lgbm
t14_ihsg_return_1d,2.4893366648751423e-05,lgbm
t50_Price Change 1 Day Percent,2.464743230104573e-05,lgbm
t28_Price Change 1 Day Percent,2.446022377292324e-05,lgbm
t09_Dividend Indicated Yld - Gross,2.445833605275228e-05,lgbm
t28_Bid Price,2.4350634844455765e-05,lgbm
t34_Price Change 1 Day Percent,2.4239059117963518e-05,lgbm
t16_ihsg_close,2.4040814313251622e-05,lgbm
t16_Price to Sales Ratio,2.40052395311091e-05,lgbm
t15_Price Change 1 Day Percent,2.3977161405427565e-05,lgbm
t58_Price Change 1 Day Percent,2.395422885285267e-05,lgbm
t24_ihsg_return_1d,2.3764187877002348e-05,lgbm
t21_Ask Price,2.3659570023334546e-05,lgbm
t26_ihsg_close,2.3209402636207318e-05,lgbm
t37_Bid Price,2.3076132239443334e-05,lgbm
t46_Ask Price,2.2815808502978547e-05,lgbm
t46_Price to Sales Ratio,2.280885129124125e-05,lgbm
t20_Price Change 1 Day Percent,2.2705509865559888e-05,lgbm
t10_Price to Sales Ratio,2.232449389394258e-05,lgbm
t30_Price Change 1 Day Percent,2.1988262544566068e-05,lgbm
t34_Low Price,2.1835222711010018e-05,lgbm
t05_Price Earnings Ratio,2.178381169071579e-05,lgbm
t32_ihsg_return_1d,2.159249331201661e-05,lgbm
t55_Price to Sales Ratio,2.1533450605638857e-05,lgbm
t38_Price to Book Ratio,2.093000714401241e-05,lgbm
t13_Price Earnings Ratio,2.0781245814880925e-05,lgbm
t11_Moving Average 20 Day,2.0601787290542002e-05,lgbm
t11_Price to Book Ratio,2.018623502110907e-05,lgbm
t27_Price to Book Ratio,1.9965177859082445e-05,lgbm
t28_Dividend Indicated Yld - Gross,1.9906024153082948e-05,lgbm
t00_ihsg_return_1d,1.9842229345791728e-05,lgbm
t38_Ask Price,1.977772014236185e-05,lgbm
t51_Price Change 1 Day Percent,1.9695325128563497e-05,lgbm
t08_High Price,1.9668219601748856e-05,lgbm
t14_ihsg_close,1.9462897182655054e-05,lgbm
t06_Low Price,1.9450405480071877e-05,lgbm
t37_Price Change 1 Day Percent,1.9446768386809512e-05,lgbm
t19_ihsg_close,1.9430273722234767e-05,lgbm
t03_Dividend Indicated Yld - Gross,1.9331746982530513e-05,lgbm
t43_ihsg_return_1d,1.9297834990029564e-05,lgbm
t17_Bid Price,1.9227373030029938e-05,lgbm
t14_Ask Price,1.9090494344008377e-05,lgbm
t09_ihsg_return_1d,1.8994283488140834e-05,lgbm
t09_Bid Price,1.8948530775887047e-05,lgbm
t44_Price Earnings Ratio,1.89423796546909e-05,lgbm
t17_High Price,1.8705096945516584e-05,lgbm
t07_Price to Book Ratio,1.8634723659226037e-05,lgbm
t12_Price Earnings Ratio,1.8547933878994078e-05,lgbm
t22_Price to Book Ratio,1.84448093710737e-05,lgbm
t06_Price to Sales Ratio,1.843985697427732e-05,lgbm
t51_Price to Book Ratio,1.8421020494707953e-05,lgbm
t22_Price Earnings Ratio,1.8375896490902973e-05,lgbm
t41_Price Earnings Ratio,1.7963804353631227e-05,lgbm
t37_Price to Sales Ratio,1.7874048072883702e-05,lgbm
t54_Dividend Indicated Yld - Gross,1.7808609396452692e-05,lgbm
t52_Dividend Indicated Yld - Gross,1.772559047154644e-05,lgbm
t55_ihsg_close,1.757804234360641e-05,lgbm
t44_Price Change 1 Day Percent,1.755943755673247e-05,lgbm
t28_Low Price,1.753295387413743e-05,lgbm
t38_Price Earnings Ratio,1.7509685449260405e-05,lgbm
t06_ihsg_return_1d,1.7466474299203006e-05,lgbm
t45_ihsg_return_1d,1.7157528718098625e-05,lgbm
t40_Price Change 1 Day Percent,1.6967191101564114e-05,lgbm
t09_Price to Book Ratio,1.691169156426523e-05,lgbm
t23_Price to Sales Ratio,1.690653255235778e-05,lgbm
t01_Dividend Indicated Yld - Gross,1.6870796492107914e-05,lgbm
t44_ihsg_close,1.6838785440729895e-05,lgbm
t54_ihsg_close,1.6733744447887254e-05,lgbm
t34_Bid Price,1.661530097257519e-05,lgbm
t17_ihsg_close,1.6591011453615848e-05,lgbm
t28_Price Earnings Ratio,1.6553604968578988e-05,lgbm
t41_ihsg_return_1d,1.6369742395989348e-05,lgbm
t31_ihsg_return_1d,1.630033523543721e-05,lgbm
t04_ihsg_close,1.6139581713711505e-05,lgbm
t34_Price to Book Ratio,1.6122672862878925e-05,lgbm
t10_Ask Price,1.5949886343893025e-05,lgbm
t33_ihsg_close,1.5886884662076637e-05,lgbm
t04_Bid Price,1.5804763487870622e-05,lgbm
t58_Dividend Indicated Yld - Gross,1.5651761142487098e-05,lgbm
t52_Low Price,1.5618403206622918e-05,lgbm
t48_Moving Average 20 Day,1.560821375835364e-05,lgbm
t07_Price Earnings Ratio,1.5399732743422768e-05,lgbm
t14_Price Change 1 Day Percent,1.5323107609663627e-05,lgbm
t18_Price Change 1 Day Percent,1.5296888382431344e-05,lgbm
t29_Dividend Indicated Yld - Gross,1.5270391561510017e-05,lgbm
t55_Price Change 1 Day Percent,1.5151135368196866e-05,lgbm
t32_Low Price,1.5040961148387193e-05,lgbm
t39_Price to Sales Ratio,1.4998375375025516e-05,lgbm
t46_Price Earnings Ratio,1.4899696033523089e-05,lgbm
t48_ihsg_return_1d,1.4890102076262041e-05,lgbm
t52_ihsg_close,1.4648356196700496e-05,lgbm
t51_Price Earnings Ratio,1.4586424413261507e-05,lgbm
t48_Bid Price,1.453255463062386e-05,lgbm
t50_Price Earnings Ratio,1.4444123035629312e-05,lgbm
t47_ihsg_return_1d,1.4437139529704254e-05,lgbm
